5;09:24:13
5;09:24:18
5;09:24:23
5;09:24:29
5;09:24:34
5;09:24:39
5;09:24:44
5;09:24:49
5;09:24:54
5;09:24:59
5;09:25:05
5;09:25:10
7;09:25:15
8;09:25:20
10;09:25:25
27;09:26:27
10;09:40:12
1;09:40:17
2;09:40:22
1;09:40:27
1;09:40:32
12;09:40:44
1;09:40:49
1;09:40:54
7;09:42:41
1;09:42:47
1;09:42:52
1;09:42:57
12;09:43:58
3;09:44:03
1;09:44:08
18;10:40:24
25;10:42:28
14;10:42:33
5;10:42:39
11;10:42:44
14;10:42:49
14;10:42:54
7;10:43:00
8;10:43:05
16;10:43:10
14;10:43:15
1;10:43:20
14;10:43:25
14;10:43:30
3;10:43:36
13;08:29:10
1;08:29:15
1;08:29:20
1;08:29:25
1;08:29:30
1;08:29:35
1;08:29:41
1;08:29:46
1;08:29:51
1;08:29:56
1;08:30:01
3;08:30:06
1;08:30:12
2;08:30:17
0;08:30:22
